transaction_id,timestamp,customer_id,account_id,amount,currency,transaction_type,channel,country_of_residence,counterparty_account_id,counterparty_country,customer_segment,kyc_risk_level,is_pep,on_sanctions_list,model_risk_score,tx_count_24h,total_amount_24h,tx_count_7d,total_amount_7d,unique_counterparties_30d
T000000001,2025-11-23T15:13:48Z,C000001,AC00000001,51375,EUR,SEPA_CREDIT,BRANCH,PL,CP00000002,AE,SME,HIGH,False,False,0.73,1,54026,4,107601,4
T000000002,2025-11-19T07:12:40Z,C000001,AC00000001,1535,USD,SEPA_CREDIT,POS,PL,CP00000003,US,RETAIL_PREMIUM,LOW,False,False,0.15,1,1535,4,3892,2
T000000003,2025-11-16T08:41:14Z,C000002,AC00000001,1895,EUR,SEPA_CREDIT,POS,PL,CP00000006,UA,RETAIL_STANDARD,LOW,False,False,0.24,3,5685,6,6423,5
T000000004,2025-11-11T15:44:28Z,C000002,AC00000001,1624,USD,SEPA_CREDIT,MOBILE,PL,CP00000002,DE,RETAIL_STANDARD,MEDIUM,False,False,0.11,2,3248,6,4220,1
T000000005,2025-11-17T07:39:43Z,C000001,AC00000001,1289,PLN,CARD_POS,INTERNET,PL,CP00000005,GB,RETAIL_PREMIUM,MEDIUM,False,False,0.11,1,1289,6,2961,2
T000000006,2025-12-01T23:15:02Z,C000002,AC00000002,1885,PLN,INTERNAL,MOBILE,PL,CP00000002,NL,RETAIL_PREMIUM,MEDIUM,False,False,0.15,3,5655,7,7444,4
T000000007,2025-11-25T14:27:40Z,C000002,AC00000001,1480,EUR,SEPA_CREDIT,MOBILE,PL,CP00000009,UA,RETAIL_PREMIUM,LOW,False,False,0.22,3,4440,6,10671,5
T000000008,2025-11-11T23:30:06Z,C000002,AC00000001,1909,PLN,INTERNAL,INTERNET,PL,CP00000004,UA,RETAIL_PREMIUM,MEDIUM,False,False,0.23,3,5727,4,10980,4
T000000009,2025-11-23T09:36:58Z,C000002,AC00000002,40634,EUR,SWIFT_OUT,BRANCH,PL,CP00000002,US,SME,MEDIUM,False,False,0.7,3,42151,3,124072,7
T000000010,2025-11-13T08:03:17Z,C000002,AC00000004,105043,PLN,CARD_ATM,BRANCH,PL,CP00000012,UA,RETAIL_STANDARD,LOW,False,False,0.95,50,3634347,94,6288062,38
T000000011,2025-12-04T16:40:57Z,C000004,AC00000004,19425,USD,SWIFT_OUT,BRANCH,PL,CP00000018,DE,HNWI,HIGH,True,False,0.93,4,26502,14,91615,3
T000000012,2025-11-12T13:04:49Z,C000001,AC00000001,74883,EUR,SEPA_CREDIT,BRANCH,PL,CP00000009,NL,RETAIL_PREMIUM,HIGH,False,False,0.59,3,160182,5,352403,5
T000000013,2025-11-25T13:55:36Z,C000004,AC00000005,4922,EUR,CARD_POS,INTERNET,PL,CP00000003,US,RETAIL_STANDARD,HIGH,False,False,0.31,29,159929,64,756885,10
T000000014,2025-11-20T00:21:00Z,C000004,AC00000005,813,EUR,CARD_POS,MOBILE,PL,CP00000010,UA,RETAIL_STANDARD,MEDIUM,False,False,0.06,1,813,2,1313,5
T000000015,2025-11-24T19:16:00Z,C000001,AC00000004,90266,PLN,SWIFT_OUT,INTERNET,PL,CP00000011,AE,SME,HIGH,False,False,0.62,1,161055,5,426161,6
