transaction_id,timestamp,customer_id,account_id,amount,currency,transaction_type,channel,country_of_residence,counterparty_account_id,counterparty_country,customer_segment,kyc_risk_level,is_pep,on_sanctions_list,model_risk_score,tx_count_24h,total_amount_24h,tx_count_7d,total_amount_7d,unique_counterparties_30d
T000000001,2025-11-09T19:58:20Z,C000001,AC00000001,112080,PLN,SWIFT_OUT,INTERNET,PL,CP00000001,US,SME,HIGH,False,False,0.72,0,211353,0,326476,4
T000000002,2025-11-09T15:46:18Z,C000001,AC00000001,6754,EUR,CARD_POS,INTERNET,PL,CP00000002,DE,RETAIL_STANDARD,HIGH,False,False,0.62,27,153341,61,351173,16
T000000003,2025-11-21T12:49:40Z,C000002,AC00000002,342,USD,CASH_IN,BRANCH,PL,CP00000002,US,SME,HIGH,False,False,0.71,11,4380,80,13830,2
T000000004,2025-11-14T23:26:12Z,C000002,AC00000001,6099,USD,INTERNAL,INTERNET,PL,CP00000005,US,RETAIL_PREMIUM,HIGH,False,False,0.89,10,63652,30,229301,12
T000000005,2025-11-26T17:57:17Z,C000002,AC00000001,56347,PLN,SWIFT_OUT,BRANCH,PL,CP00000001,AE,RETAIL_PREMIUM,HIGH,False,False,0.48,3,78976,4,226637,6
T000000006,2025-11-26T19:31:30Z,C000003,AC00000003,3465,EUR,INTERNAL,MOBILE,PL,CP00000010,GB,RETAIL_STANDARD,MEDIUM,False,False,0.78,20,83085,38,293171,7
T000000007,2025-11-11T23:58:04Z,C000002,AC00000003,2316,EUR,SEPA_CREDIT,POS,PL,CP00000009,NL,RETAIL_PREMIUM,LOW,False,False,0.08,0,2316,5,5654,5
T000000008,2025-11-09T19:32:54Z,C000003,AC00000001,2611,USD,CARD_POS,INTERNET,PL,CP00000004,AE,RETAIL_STANDARD,LOW,False,False,0.15,2,5222,7,10524,2
T000000009,2025-11-12T23:10:28Z,C000003,AC00000002,372,PLN,INTERNAL,MOBILE,PL,CP00000008,UA,RETAIL_STANDARD,MEDIUM,False,False,0.24,0,372,5,733,1
T000000010,2025-11-26T08:02:39Z,C000004,AC00000002,1326,USD,INTERNAL,INTERNET,PL,CP00000007,US,RETAIL_STANDARD,LOW,False,False,0.06,3,3978,8,9148,4
T000000011,2025-11-28T06:07:35Z,C000002,AC00000002,2634,PLN,SEPA_CREDIT,MOBILE,PL,CP00000003,US,RETAIL_STANDARD,MEDIUM,False,False,0.17,0,2634,1,2989,1
T000000012,2025-11-14T06:44:59Z,C000005,AC00000004,1717,PLN,SEPA_CREDIT,INTERNET,PL,CP00000016,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.22,1,1717,1,2049,4
T000000013,2025-11-30T09:29:08Z,C000001,AC00000001,497,EUR,CARD_POS,INTERNET,PL,CP00000024,NL,RETAIL_STANDARD,MEDIUM,False,False,0.12,1,497,2,686,4
T000000014,2025-11-12T02:05:34Z,C000005,AC00000001,2967,PLN,SEPA_CREDIT,INTERNET,PL,CP00000021,UA,HNWI,HIGH,True,False,0.66,0,5715,3,10948,10
